drug,protein,Genesym
DB00539,2099,ESR1
DB00603,2099,ESR1
DB00655,2099,ESR1
DB00675,2099,ESR1
DB00783,2099,ESR1
DB00823,2099,ESR1
DB00882,2099,ESR1
DB00890,2099,ESR1
DB00947,2099,ESR1
DB00977,2099,ESR1
DB01065,2099,ESR1
DB01108,2099,ESR1
DB01183,2099,ESR1
DB01196,2099,ESR1
DB01357,2099,ESR1
DB01645,2099,ESR1
DB04573,2099,ESR1
DB07933,2099,ESR1
DB01025,3562,IL3
DB00945,1645,AKR1C1
DB07931,1645,AKR1C1
DB00358,3039,HBA1
DB08486,3039,HBA1
DB00367,367,AR
DB00421,367,AR
DB00499,367,AR
DB00621,367,AR
DB00624,367,AR
DB00665,367,AR
DB00984,367,AR
DB01128,367,AR
DB01395,367,AR
DB01420,367,AR
DB02266,367,AR
DB02932,367,AR
DB04839,367,AR
DB06710,367,AR
DB07423,367,AR
DB00536,217,ALDH2
DB00822,217,ALDH2
DB02115,217,ALDH2
DB00165,501,ALDH7A1
DB00126,1621,DBH
DB00822,1621,DBH
DB00988,1621,DBH
DB00252,6323,SCN1A
DB00273,6323,SCN1A
DB00909,6323,SCN1A
DB01438,6323,SCN1A
DB00361,203068,TUBB
DB00541,203068,TUBB
DB00570,203068,TUBB
DB01179,203068,TUBB
DB01394,203068,TUBB
DB03010,203068,TUBB
DB00210,5916,RARG
DB00459,5916,RARG
DB00755,5916,RARG
DB00799,5916,RARG
DB00246,1816,DRD5
DB00268,1816,DRD5
DB00334,1816,DRD5
DB00413,1816,DRD5
DB00800,1816,DRD5
DB00988,1816,DRD5
DB01186,1816,DRD5
DB01224,1816,DRD5
DB01235,1816,DRD5
DB01238,1816,DRD5
DB00363,59340,HRH4
DB00398,2322,FLT3
DB01268,2322,FLT3
DB00308,3775,KCNK1
DB00908,3775,KCNK1
DB00724,51284,TLR7
DB01611,51284,TLR7
DB00514,10280,SIGMAR1
DB00121,3141,HLCS
DB01017,7422,VEGFA
DB01120,7422,VEGFA
DB01136,7422,VEGFA
DB03754,7422,VEGFA
DB00872,552,AVPR1A
DB00290,3980,LIG3
DB00187,153,ADRB1
DB00195,153,ADRB1
DB00264,153,ADRB1
DB00368,153,ADRB1
DB00373,153,ADRB1
DB00489,153,ADRB1
DB00571,153,ADRB1
DB00612,153,ADRB1
DB00668,153,ADRB1
DB00841,153,ADRB1
DB01001,153,ADRB1
DB01064,153,ADRB1
DB01118,153,ADRB1
DB01136,153,ADRB1
DB01193,153,ADRB1
DB04861,153,ADRB1
DB01136,4718,NDUFC2
DB00281,6336,SCN10A
DB00296,6336,SCN10A
DB00297,6336,SCN10A
DB00527,6336,SCN10A
DB00645,6336,SCN10A
DB00721,6336,SCN10A
DB00807,6336,SCN10A
DB00892,6336,SCN10A
DB00961,6336,SCN10A
DB01086,6336,SCN10A
DB01173,6336,SCN10A
DB00583,1376,CPT2
DB01074,1376,CPT2
DB00203,8654,PDE5A
DB00277,8654,PDE5A
DB00820,8654,PDE5A
DB00862,8654,PDE5A
DB00975,8654,PDE5A
DB00145,2937,GSS
DB00128,443,ASPA
DB00384,6337,SCNN1A
DB00594,6337,SCNN1A
DB01708,3292,HSD17B1
DB00252,6331,SCN5A
DB00281,6331,SCN5A
DB00379,6331,SCN5A
DB00527,6331,SCN5A
DB00564,6331,SCN5A
DB00661,6331,SCN5A
DB00740,6331,SCN5A
DB00750,6331,SCN5A
DB00776,6331,SCN5A
DB00908,6331,SCN5A
DB00909,6331,SCN5A
DB01182,6331,SCN5A
DB01195,6331,SCN5A
DB00290,3978,LIG1
DB00398,5159,PDGFRB
DB00619,5159,PDGFRB
DB01254,5159,PDGFRB
DB01268,5159,PDGFRB
DB00210,5915,RARB
DB00459,5915,RARB
DB00799,5915,RARB
DB02877,5915,RARB
DB04942,5915,RARB
DB00222,6833,ABCC8
DB00672,6833,ABCC8
DB00731,6833,ABCC8
DB00912,6833,ABCC8
DB01016,6833,ABCC8
DB01067,6833,ABCC8
DB01120,6833,ABCC8
DB01124,6833,ABCC8
DB01251,6833,ABCC8
DB00302,5340,PLG
DB00513,5340,PLG
DB00197,5468,PPARG
DB00244,5468,PPARG
DB00328,5468,PPARG
DB00412,5468,PPARG
DB00731,5468,PPARG
DB00795,5468,PPARG
DB00912,5468,PPARG
DB00966,5468,PPARG
DB01014,5468,PPARG
DB01067,5468,PPARG
DB01132,5468,PPARG
DB01393,5468,PPARG
DB00170,2159,F10
DB06228,2159,F10
DB01373,27032,ATP2C1
DB00128,440,ASNS
DB00170,4835,NQO2
DB01065,4835,NQO2
DB01087,4835,NQO2
DB02709,4835,NQO2
DB00178,1636,ACE
DB00542,1636,ACE
DB00584,1636,ACE
DB00691,1636,ACE
DB00790,1636,ACE
DB00881,1636,ACE
DB01197,1636,ACE
DB01340,1636,ACE
DB01213,124,ADH1A
DB01094,4547,MTTP
DB00200,6947,TCN1
DB00197,5054,SERPINE1
DB00277,136,ADORA2B
DB00640,136,ADORA2B
DB00648,2230,FDX1
DB01229,596,BCL2
DB01248,596,BCL2
DB01367,596,BCL2
DB00246,1133,CHRM5
DB00321,1133,CHRM5
DB00334,1133,CHRM5
DB00363,1133,CHRM5
DB00458,1133,CHRM5
DB00496,1133,CHRM5
DB00572,1133,CHRM5
DB00622,1133,CHRM5
DB00715,1133,CHRM5
DB00747,1133,CHRM5
DB00934,1133,CHRM5
DB01036,1133,CHRM5
DB01224,1133,CHRM5
DB01238,1133,CHRM5
DB01239,1133,CHRM5
DB01591,1133,CHRM5
DB06702,1133,CHRM5
DB00179,240,ALOX5
DB00233,240,ALOX5
DB00244,240,ALOX5
DB00471,240,ALOX5
DB00586,240,ALOX5
DB00744,240,ALOX5
DB00795,240,ALOX5
DB01014,240,ALOX5
DB01017,240,ALOX5
DB01097,240,ALOX5
DB00242,4860,PNP
DB00900,4860,PNP
DB01667,4860,PNP
DB02857,4860,PNP
DB00600,7299,TYR
DB00780,18,ABAT
DB00331,5564,PRKAB1
DB03796,23541,SEC14L2
DB00811,22978,NT5C2
DB00233,5743,PTGS2
DB00244,5743,PTGS2
DB00316,5743,PTGS2
DB00328,5743,PTGS2
DB00461,5743,PTGS2
DB00465,5743,PTGS2
DB00469,5743,PTGS2
DB00480,5743,PTGS2
DB00482,5743,PTGS2
DB00500,5743,PTGS2
DB00533,5743,PTGS2
DB00554,5743,PTGS2
DB00580,5743,PTGS2
DB00586,5743,PTGS2
DB00605,5743,PTGS2
DB00712,5743,PTGS2
DB00749,5743,PTGS2
DB00784,5743,PTGS2
DB00788,5743,PTGS2
DB00795,5743,PTGS2
DB00812,5743,PTGS2
DB00814,5743,PTGS2
DB00821,5743,PTGS2
DB00870,5743,PTGS2
DB00945,5743,PTGS2
DB00963,5743,PTGS2
DB00991,5743,PTGS2
DB01009,5743,PTGS2
DB01014,5743,PTGS2
DB01041,5743,PTGS2
DB01050,5743,PTGS2
DB01283,5743,PTGS2
DB01399,5743,PTGS2
DB01435,5743,PTGS2
DB02266,5743,PTGS2
DB02709,5743,PTGS2
DB04552,5743,PTGS2
DB04743,5743,PTGS2
DB06725,5743,PTGS2
DB06802,5743,PTGS2
DB01110,4846,NOS3
DB08597,90,ACVR1
DB00232,759,CA1
DB00381,759,CA1
DB00423,759,CA1
DB00436,759,CA1
DB00703,759,CA1
DB00869,759,CA1
DB00880,759,CA1
DB00909,759,CA1
DB00999,759,CA1
DB01021,759,CA1
DB01144,759,CA1
DB01194,759,CA1
DB00165,57026,PDXP
DB00811,55193,PBRM1
DB00400,203068,TUBB
DB00246,150,ADRA2A
DB00268,150,ADRA2A
DB00321,150,ADRA2A
DB00334,150,ADRA2A
DB00363,150,ADRA2A
DB00368,150,ADRA2A
DB00370,150,ADRA2A
DB00413,150,ADRA2A
DB00484,150,ADRA2A
DB00543,150,ADRA2A
DB00575,150,ADRA2A
DB00633,150,ADRA2A
DB00656,150,ADRA2A
DB00668,150,ADRA2A
DB00692,150,ADRA2A
DB00697,150,ADRA2A
DB00734,150,ADRA2A
DB00751,150,ADRA2A
DB00797,150,ADRA2A
DB00800,150,ADRA2A
DB00925,150,ADRA2A
DB00935,150,ADRA2A
DB00968,150,ADRA2A
DB01186,150,ADRA2A
DB01224,150,ADRA2A
DB01238,150,ADRA2A
DB01392,150,ADRA2A
DB06148,150,ADRA2A
DB06694,150,ADRA2A
DB06711,150,ADRA2A
DB00216,3350,HTR1A
DB00246,3350,HTR1A
DB00268,3350,HTR1A
DB00315,3350,HTR1A
DB00321,3350,HTR1A
DB00334,3350,HTR1A
DB00363,3350,HTR1A
DB00413,3350,HTR1A
DB00477,3350,HTR1A
DB00490,3350,HTR1A
DB00571,3350,HTR1A
DB00656,3350,HTR1A
DB00669,3350,HTR1A
DB00734,3350,HTR1A
DB00904,3350,HTR1A
DB00952,3350,HTR1A
DB01186,3350,HTR1A
DB01224,3350,HTR1A
DB01238,3350,HTR1A
DB01392,3350,HTR1A
DB01616,3350,HTR1A
DB06684,3350,HTR1A
DB00145,6472,SHMT2
DB00872,554,AVPR2
DB00459,5947,RBP1
DB00308,782,CACNB1
DB00393,782,CACNB1
DB00661,782,CACNB1
DB00246,3359,HTR3A
DB00334,3359,HTR3A
DB00363,3359,HTR3A
DB00370,3359,HTR3A
DB00721,3359,HTR3A
DB00728,3359,HTR3A
DB00889,3359,HTR3A
DB00904,3359,HTR3A
DB01043,3359,HTR3A
DB01224,3359,HTR3A
DB01238,3359,HTR3A
DB00279,7068,THRB
DB00451,7068,THRB
DB03604,7068,THRB
DB00145,189,AGXT
DB00115,166785,MMAA
DB00200,166785,MMAA
DB00232,760,CA2
DB00273,760,CA2
DB00436,760,CA2
DB00695,760,CA2
DB00703,760,CA2
DB00869,760,CA2
DB00880,760,CA2
DB00909,760,CA2
DB00999,760,CA2
DB01021,760,CA2
DB01144,760,CA2
DB01194,760,CA2
DB00165,875,CBS
DB00293,7298,TYMS
DB00322,7298,TYMS
DB00432,7298,TYMS
DB00440,7298,TYMS
DB00441,7298,TYMS
DB00544,7298,TYMS
DB00642,7298,TYMS
DB01101,7298,TYMS
DB00242,6240,RRM1
DB00441,6240,RRM1
DB00631,6240,RRM1
DB01005,6240,RRM1
DB01073,6240,RRM1
DB00980,4544,MTNR1B
DB01065,4544,MTNR1B
DB06594,4544,MTNR1B
DB02329,3290,HSD11B1
DB00205,1719,DHFR
DB00440,1719,DHFR
DB00563,1719,DHFR
DB00642,1719,DHFR
DB01157,1719,DHFR
DB00145,6470,SHMT1
DB00609,3623,INHA
DB00951,3623,INHA
DB00170,2155,F7
DB00200,81693,AMN
DB00246,152,ADRA2C
DB00268,152,ADRA2C
DB00334,152,ADRA2C
DB00363,152,ADRA2C
DB00368,152,ADRA2C
DB00413,152,ADRA2C
DB00484,152,ADRA2C
DB00575,152,ADRA2C
DB00697,152,ADRA2C
DB00734,152,ADRA2C
DB00800,152,ADRA2C
DB00925,152,ADRA2C
DB01186,152,ADRA2C
DB01224,152,ADRA2C
DB01238,152,ADRA2C
DB01392,152,ADRA2C
DB06694,152,ADRA2C
DB00273,2897,GRIK1
DB00145,2628,GATM
DB00594,28988,DBNL
DB03608,28988,DBNL
DB00586,41,ASIC1
DB00594,41,ASIC1
DB00640,140,ADORA3
DB01223,140,ADORA3
DB00230,773,CACNA1A
DB00661,773,CACNA1A
DB00836,773,CACNA1A
DB01244,773,CACNA1A
DB00170,2158,F9
DB01173,2902,GRIN1
DB00770,5732,PTGER2
DB00917,5732,PTGER2
DB00398,3791,KDR
DB01268,3791,KDR
DB00140,55312,RFK
DB00145,27232,GNMT
DB00583,54677,CROT
DB00091,819,CAMLG
DB00170,5624,PROC
DB00402,2555,GABRA2
DB00794,2555,GABRA2
DB01205,2555,GABRA2
DB01097,1723,DHODH
DB01117,1723,DHODH
DB02262,1723,DHODH
DB00128,2806,GOT2
DB00673,6869,TACR1
DB01221,6869,TACR1
DB06717,6869,TACR1
DB04786,2492,FSHR
DB00246,1815,DRD4
DB00268,1815,DRD4
DB00334,1815,DRD4
DB00363,1815,DRD4
DB00413,1815,DRD4
DB00734,1815,DRD4
DB00988,1815,DRD4
DB01186,1815,DRD4
DB01224,1815,DRD4
DB01235,1815,DRD4
DB01238,1815,DRD4
DB00216,3357,HTR2B
DB00268,3357,HTR2B
DB00413,3357,HTR2B
DB01079,3357,HTR2B
DB01186,3357,HTR2B
DB01239,3357,HTR2B
DB01242,3357,HTR2B
DB01173,2906,GRIN2D
DB01213,125,ADH1B
DB00170,2677,GGCX
DB00246,1132,CHRM4
DB00321,1132,CHRM4
DB00334,1132,CHRM4
DB00363,1132,CHRM4
DB00387,1132,CHRM4
DB00424,1132,CHRM4
DB00458,1132,CHRM4
DB00496,1132,CHRM4
DB00572,1132,CHRM4
DB00622,1132,CHRM4
DB00715,1132,CHRM4
DB00747,1132,CHRM4
DB00809,1132,CHRM4
DB00934,1132,CHRM4
DB01036,1132,CHRM4
DB01224,1132,CHRM4
DB01238,1132,CHRM4
DB01239,1132,CHRM4
DB01591,1132,CHRM4
DB06702,1132,CHRM4
DB00583,1374,CPT1A
DB01074,1374,CPT1A
DB00145,211,ALAS1
DB00210,6256,RXRA
DB00307,6256,RXRA
DB00459,6256,RXRA
DB00749,6256,RXRA
DB00257,3783,KCNN4
DB00468,3783,KCNN4
DB01110,3783,KCNN4
DB00502,2904,GRIN2B
DB00949,2904,GRIN2B
DB01043,2904,GRIN2B
DB00527,801,CALM1
DB00622,801,CALM1
DB00623,801,CALM1
DB00831,801,CALM1
DB00836,801,CALM1
DB00925,801,CALM1
DB01023,801,CALM1
DB01065,801,CALM1
DB01115,801,CALM1
DB01244,801,CALM1
DB01373,801,CALM1
DB04841,801,CALM1
DB00321,4985,OPRD1
DB00704,4985,OPRD1
DB00836,4985,OPRD1
DB01183,4985,OPRD1
DB00741,301,ANXA1
DB01234,301,ANXA1
DB02701,3939,LDHA
DB00382,43,ACHE
DB00483,43,ACHE
DB00545,43,ACHE
DB00674,43,ACHE
DB00989,43,ACHE
DB01245,43,ACHE
DB08167,43,ACHE
DB01169,207,AKT1
DB00218,23113,CUL9
DB00467,23113,CUL9
DB00487,23113,CUL9
DB00537,23113,CUL9
DB00978,23113,CUL9
DB01059,23113,CUL9
DB01137,23113,CUL9
DB01165,23113,CUL9
DB01208,23113,CUL9
DB04576,23113,CUL9
DB00270,775,CACNA1C
DB00308,775,CACNA1C
DB00381,775,CACNA1C
DB00393,775,CACNA1C
DB00401,775,CACNA1C
DB00622,775,CACNA1C
DB00661,775,CACNA1C
DB01023,775,CACNA1C
DB01054,775,CACNA1C
DB01115,775,CACNA1C
DB01373,775,CACNA1C
DB06712,775,CACNA1C
DB01254,27,ABL2
DB00235,5139,PDE3A
DB00261,5139,PDE3A
DB00277,5139,PDE3A
DB00922,5139,PDE3A
DB01166,5139,PDE3A
DB01223,5139,PDE3A
DB00245,3269,HRH1
DB00246,3269,HRH1
DB00283,3269,HRH1
DB00321,3269,HRH1
DB00334,3269,HRH1
DB00341,3269,HRH1
DB00342,3269,HRH1
DB00363,3269,HRH1
DB00366,3269,HRH1
DB00370,3269,HRH1
DB00434,3269,HRH1
DB00455,3269,HRH1
DB00458,3269,HRH1
DB00477,3269,HRH1
DB00557,3269,HRH1
DB00656,3269,HRH1
DB00719,3269,HRH1
DB00734,3269,HRH1
DB00737,3269,HRH1
DB00751,3269,HRH1
DB00768,3269,HRH1
DB00792,3269,HRH1
DB00797,3269,HRH1
DB00920,3269,HRH1
DB00934,3269,HRH1
DB00950,3269,HRH1
DB00967,3269,HRH1
DB00972,3269,HRH1
DB01075,3269,HRH1
DB01114,3269,HRH1
DB01173,3269,HRH1
DB01175,3269,HRH1
DB01176,3269,HRH1
DB01224,3269,HRH1
DB01238,3269,HRH1
DB01239,3269,HRH1
DB01620,3269,HRH1
DB04841,3269,HRH1
DB04890,3269,HRH1
DB06148,3269,HRH1
DB06698,3269,HRH1
DB08799,3269,HRH1
DB08800,3269,HRH1
DB01017,834,CASP1
DB00121,56922,MCCC1
DB00246,3356,HTR2A
DB00268,3356,HTR2A
DB00321,3356,HTR2A
DB00334,3356,HTR2A
DB00363,3356,HTR2A
DB00370,3356,HTR2A
DB00408,3356,HTR2A
DB00413,3356,HTR2A
DB00434,3356,HTR2A
DB00458,3356,HTR2A
DB00472,3356,HTR2A
DB00477,3356,HTR2A
DB00502,3356,HTR2A
DB00656,3356,HTR2A
DB00679,3356,HTR2A
DB00715,3356,HTR2A
DB00734,3356,HTR2A
DB00751,3356,HTR2A
DB00924,3356,HTR2A
DB01079,3356,HTR2A
DB01186,3356,HTR2A
DB01224,3356,HTR2A
DB01238,3356,HTR2A
DB01239,3356,HTR2A
DB01242,3356,HTR2A
DB01392,3356,HTR2A
DB04599,3356,HTR2A
DB06148,3356,HTR2A
DB06288,3356,HTR2A
DB00104,6751,SSTR1
DB00398,3815,KIT
DB00619,3815,KIT
DB01254,3815,KIT
DB01268,3815,KIT
DB04868,3815,KIT
DB00145,2905,GRIN2C
DB00200,326625,MMAB
DB00811,5167,ENPP1
DB01143,5167,ENPP1
DB00216,3355,HTR1F
DB00315,3355,HTR1F
DB00669,3355,HTR1F
DB00952,3355,HTR1F
DB00953,3355,HTR1F
DB00188,5707,PSMD1
DB01213,126,ADH1C
DB01016,10060,ABCC9
DB00188,5708,PSMD2
DB00402,2558,GABRA5
DB00794,2558,GABRA5
DB01205,2558,GABRA5
DB00216,3354,HTR1E
DB00246,3354,HTR1E
DB00334,3354,HTR1E
DB00363,3354,HTR1E
DB01224,3354,HTR1E
DB01238,3354,HTR1E
DB00794,2557,GABRA4
DB00128,95,ACY1
DB00593,8913,CACNA1G
DB00661,8913,CACNA1G
DB00909,8913,CACNA1G
DB04841,8913,CACNA1G
DB00201,5142,PDE4B
DB00277,5142,PDE4B
DB00651,5142,PDE4B
DB00920,5142,PDE4B
DB01113,5142,PDE4B
DB01412,5142,PDE4B
DB01954,5142,PDE4B
DB03849,5142,PDE4B
DB04149,5142,PDE4B
DB00808,3753,KCNE1
DB00121,5095,PCCA
DB00384,6339,SCNN1D
DB00594,6339,SCNN1D
DB00583,1384,CRAT
DB00384,6340,SCNN1G
DB00594,6340,SCNN1G
DB00246,148,ADRA1A
DB00321,148,ADRA1A
DB00334,148,ADRA1A
DB00346,148,ADRA1A
DB00363,148,ADRA1A
DB00368,148,ADRA1A
DB00388,148,ADRA1A
DB00450,148,ADRA1A
DB00457,148,ADRA1A
DB00458,148,ADRA1A
DB00477,148,ADRA1A
DB00543,148,ADRA1A
DB00590,148,ADRA1A
DB00622,148,ADRA1A
DB00656,148,ADRA1A
DB00668,148,ADRA1A
DB00679,148,ADRA1A
DB00692,148,ADRA1A
DB00706,148,ADRA1A
DB00734,148,ADRA1A
DB00751,148,ADRA1A
DB00797,148,ADRA1A
DB00831,148,ADRA1A
DB00925,148,ADRA1A
DB00934,148,ADRA1A
DB00935,148,ADRA1A
DB01136,148,ADRA1A
DB01162,148,ADRA1A
DB01175,148,ADRA1A
DB01186,148,ADRA1A
DB01224,148,ADRA1A
DB01238,148,ADRA1A
DB06694,148,ADRA1A
DB06711,148,ADRA1A
DB00389,7173,TPO
DB00550,7173,TPO
DB00763,7173,TPO
DB01259,2064,ERBB2
DB00755,8854,ALDH1A2
DB00980,4543,MTNR1A
DB01065,4543,MTNR1A
DB06594,4543,MTNR1A
DB00227,3683,ITGAL
DB00145,23464,GCAT
DB00559,1909,EDNRA
DB06268,1909,EDNRA
DB00402,2556,GABRA3
DB00794,2556,GABRA3
DB01205,2556,GABRA3
DB00627,23475,QPRT
DB00128,444,ASPH
DB00128,2805,GOT1
DB00445,1105,CHD1
DB00246,3358,HTR2C
DB00268,3358,HTR2C
DB00334,3358,HTR2C
DB00363,3358,HTR2C
DB00370,3358,HTR2C
DB00408,3358,HTR2C
DB00413,3358,HTR2C
DB00434,3358,HTR2C
DB00656,3358,HTR2C
DB00734,3358,HTR2C
DB01079,3358,HTR2C
DB01186,3358,HTR2C
DB01224,3358,HTR2C
DB01238,3358,HTR2C
DB01239,3358,HTR2C
DB01242,3358,HTR2C
DB01392,3358,HTR2C
DB06148,3358,HTR2C
DB06594,3358,HTR2C
DB00145,116444,GRIN3B
DB01173,116444,GRIN3B
DB00232,762,CA4
DB00273,762,CA4
DB00436,762,CA4
DB00703,762,CA4
DB00869,762,CA4
DB00880,762,CA4
DB00909,762,CA4
DB00999,762,CA4
DB01021,762,CA4
DB01144,762,CA4
DB01194,762,CA4
DB00121,5096,PCCB
DB00242,5422,POLA1
DB00631,5422,POLA1
DB01073,5422,POLA1
DB01280,5422,POLA1
DB00170,8858,PROZ
DB00356,3778,KCNMA1
DB00436,3778,KCNMA1
DB00999,3778,KCNMA1
DB01003,3778,KCNMA1
DB01110,3778,KCNMA1
DB00755,216,ALDH1A1
DB00351,5241,PGR
DB00367,5241,PGR
DB00378,5241,PGR
DB00396,5241,PGR
DB00588,5241,PGR
DB00603,5241,PGR
DB00717,5241,PGR
DB00823,5241,PGR
DB00834,5241,PGR
DB01395,5241,PGR
DB00246,1129,CHRM2
DB00321,1129,CHRM2
DB00332,1129,CHRM2
DB00334,1129,CHRM2
DB00363,1129,CHRM2
DB00387,1129,CHRM2
DB00424,1129,CHRM2
DB00434,1129,CHRM2
DB00458,1129,CHRM2
DB00462,1129,CHRM2
DB00483,1129,CHRM2
DB00496,1129,CHRM2
DB00517,1129,CHRM2
DB00572,1129,CHRM2
DB00622,1129,CHRM2
DB00715,1129,CHRM2
DB00728,1129,CHRM2
DB00747,1129,CHRM2
DB00804,1129,CHRM2
